season,league,team,player,nationality,position,age,minutes,minutes_90s,goals,assists,goals_assists,goals_per90,assists_per90,goals_assists_per90,xg,xg_assist,npxg,shots,shots_on_target
2018-2019,Serie A,Inter,Mauro Icardi,ARG,FW,25.0,2267.0,25.2,11.0,4.0,15.0,0.44,0.16,0.6,15.2,3.3,10.5,67.0,23.0
2018-2019,Premier League,Crystal Palace,Michy Batshuayi,BEL,FW,24.0,750.0,8.3,5.0,0.0,5.0,0.6,0.0,0.6,4.0,0.1,4.0,27.0,10.0
2018-2019,Bundesliga,Hertha BSC,Vedad Ibišević,BIH,FW,33.0,1807.0,20.1,10.0,2.0,12.0,0.5,0.1,0.6,12.4,1.4,11.8,52.0,19.0
2018-2019,Ligue 1,Strasbourg,Anthony Gonçalves,FRA,"MF,FW",32.0,1058.0,11.8,5.0,2.0,7.0,0.43,0.17,0.6,1.5,1.3,1.5,14.0,10.0
2018-2019,La Liga,Eibar,Marc Cardona,ESP,"FW,MF",23.0,604.0,6.7,3.0,1.0,4.0,0.45,0.15,0.6,3.4,0.7,3.4,17.0,8.0
2018-2019,Ligue 1,Rennes,Jordan Pefok,USA,FW,22.0,608.0,6.8,3.0,1.0,4.0,0.44,0.15,0.59,4.2,0.2,4.2,20.0,10.0
2018-2019,Bundesliga,RB Leipzig,Jean-Kévin Augustin,FRA,FW,21.0,461.0,5.1,3.0,0.0,3.0,0.59,0.0,0.59,2.8,0.8,2.8,13.0,8.0
2018-2019,Bundesliga,Hannover 96,Ihlas Bebou,TOG,"MF,FW",24.0,1066.0,11.8,4.0,3.0,7.0,0.34,0.25,0.59,4.6,1.9,3.8,26.0,10.0
2018-2019,Premier League,Watford,Andre Gray,JAM,FW,27.0,1366.0,15.2,7.0,2.0,9.0,0.46,0.13,0.59,5.0,1.9,5.0,35.0,16.0
2018-2019,Ligue 1,Dijon,Jules Keita,GUI,"FW,MF",20.0,456.0,5.1,2.0,1.0,3.0,0.39,0.2,0.59,2.1,0.7,2.1,16.0,4.0
2018-2019,Bundesliga,Eint Frankfurt,Ante Rebić,CRO,"FW,MF",24.0,1978.0,22.0,9.0,4.0,13.0,0.41,0.18,0.59,9.2,5.4,9.2,61.0,28.0
2018-2019,La Liga,Espanyol,Borja Iglesias,ESP,FW,25.0,3075.0,34.2,17.0,3.0,20.0,0.5,0.09,0.59,16.0,4.1,13.6,87.0,35.0
2018-2019,Bundesliga,Düsseldorf,Dodi Lukebakio,BEL,"FW,MF",20.0,1972.0,21.9,10.0,3.0,13.0,0.46,0.14,0.59,12.7,2.2,8.0,50.0,26.0
2018-2019,Bundesliga,Wolfsburg,Admir Mehmedi,SUI,"FW,MF",27.0,1692.0,18.8,6.0,5.0,11.0,0.32,0.27,0.59,4.0,3.6,4.0,36.0,13.0
2018-2019,Ligue 1,Strasbourg,Ludovic Ajorque,FRA,FW,24.0,1531.0,17.0,9.0,1.0,10.0,0.53,0.06,0.59,5.7,1.0,5.7,46.0,17.0
2018-2019,Bundesliga,Hannover 96,Jonathas,BRA,FW,29.0,607.0,6.7,3.0,1.0,4.0,0.44,0.15,0.59,2.3,0.1,1.5,12.0,5.0
2018-2019,Serie A,Milan,Krzysztof Piątek,POL,FW,23.0,1373.0,15.3,9.0,0.0,9.0,0.59,0.0,0.59,6.9,1.2,6.9,41.0,21.0
2018-2019,Premier League,Fulham,Ryan Babel,NED,"FW,MF",31.0,1251.0,13.9,5.0,3.0,8.0,0.36,0.22,0.58,5.7,2.2,5.7,27.0,9.0
2018-2019,Premier League,Wolves,Raúl Jiménez,MEX,FW,27.0,3111.0,34.6,13.0,7.0,20.0,0.38,0.2,0.58,15.1,6.3,13.6,109.0,31.0
2018-2019,Ligue 1,Lille,Luiz Araújo,BRA,"FW,MF",22.0,781.0,8.7,3.0,2.0,5.0,0.35,0.23,0.58,2.1,0.9,2.1,24.0,7.0
2018-2019,Ligue 1,Rennes,Adrien Hunou,FRA,"FW,MF",24.0,1240.0,13.8,7.0,1.0,8.0,0.51,0.07,0.58,7.7,0.5,7.6,26.0,14.0
2018-2019,Bundesliga,M'Gladbach,Alassane Pléa,FRA,FW,25.0,2503.0,27.8,12.0,4.0,16.0,0.43,0.14,0.58,10.4,2.8,10.3,83.0,41.0
2018-2019,Bundesliga,Mainz 05,Jean-Philippe Mateta,FRA,FW,21.0,2483.0,27.6,14.0,2.0,16.0,0.51,0.07,0.58,13.8,3.2,13.8,97.0,34.0
2018-2019,La Liga,Leganés,Martin Braithwaite,DEN,FW,27.0,1402.0,15.6,4.0,5.0,9.0,0.26,0.32,0.58,5.1,1.4,5.1,29.0,8.0
2018-2019,La Liga,Valencia,Santi Mina,ESP,FW,22.0,1852.0,20.6,7.0,5.0,12.0,0.34,0.24,0.58,8.1,3.9,7.9,43.0,22.0
2018-2019,La Liga,Atlético Madrid,Álvaro Morata,ESP,FW,25.0,1083.0,12.0,6.0,1.0,7.0,0.5,0.08,0.58,6.3,0.7,6.3,30.0,13.0
2018-2019,Premier League,Burnley,Matěj Vydra,CZE,FW,26.0,318.0,3.5,1.0,1.0,2.0,0.28,0.28,0.57,1.8,0.5,1.8,6.0,3.0
2018-2019,Bundesliga,Bayern Munich,Thomas Müller,GER,"MF,FW",28.0,2378.0,26.4,6.0,9.0,15.0,0.23,0.34,0.57,9.3,10.6,9.3,63.0,27.0
2018-2019,Bundesliga,Freiburg,Vincenzo Grifo,ITA,"MF,FW",25.0,1427.0,15.9,6.0,3.0,9.0,0.38,0.19,0.57,3.6,3.2,2.9,41.0,13.0
2018-2019,Premier League,West Ham,Lucas Pérez,ESP,"FW,MF",29.0,475.0,5.3,3.0,0.0,3.0,0.57,0.0,0.57,1.3,0.8,1.3,9.0,3.0
2018-2019,La Liga,Betis,Cristian Tello,ESP,"DF,FW",26.0,1573.0,17.5,4.0,6.0,10.0,0.23,0.34,0.57,2.9,4.0,2.9,36.0,17.0
2018-2019,Ligue 1,Strasbourg,Nuno da Costa,CPV,FW,27.0,2052.0,22.8,8.0,5.0,13.0,0.35,0.22,0.57,5.4,3.0,4.7,45.0,17.0
2018-2019,Ligue 1,Strasbourg,Lebo Mothiba,RSA,FW,22.0,1771.0,19.7,9.0,2.0,11.0,0.46,0.1,0.56,7.0,1.4,6.2,34.0,17.0
2018-2019,Bundesliga,Wolfsburg,Daniel Ginczek,GER,FW,27.0,1276.0,14.2,6.0,2.0,8.0,0.42,0.14,0.56,3.8,1.6,3.8,35.0,14.0
2018-2019,La Liga,Athletic Club,Kenan Kodro,BIH,"FW,MF",24.0,161.0,1.8,1.0,0.0,1.0,0.56,0.0,0.56,0.2,0.1,0.2,4.0,1.0
2018-2019,Serie A,Torino,Iago Falque,ESP,"FW,MF",28.0,1612.0,17.9,6.0,4.0,10.0,0.33,0.22,0.56,5.3,3.4,5.3,57.0,20.0
2018-2019,Serie A,Atalanta,Papu Gómez,ARG,"MF,FW",30.0,2899.0,32.2,7.0,11.0,18.0,0.22,0.34,0.56,8.4,12.8,8.4,105.0,37.0
2018-2019,Serie A,Cagliari,Leonardo Pavoletti,ITA,FW,29.0,2734.0,30.4,16.0,1.0,17.0,0.53,0.03,0.56,11.3,1.6,11.3,84.0,33.0
2018-2019,La Liga,Real Madrid,Gareth Bale,WAL,FW,29.0,1786.0,19.8,8.0,3.0,11.0,0.4,0.15,0.55,9.1,2.9,8.3,75.0,31.0
2018-2019,Premier League,Southampton,Danny Ings,ENG,FW,26.0,1651.0,18.3,7.0,3.0,10.0,0.38,0.16,0.55,9.4,3.1,7.0,53.0,19.0
2018-2019,Ligue 1,Lyon,Martin Terrier,FRA,FW,21.0,1486.0,16.5,9.0,0.0,9.0,0.55,0.0,0.55,4.1,2.6,4.1,36.0,16.0
2018-2019,La Liga,Celta Vigo,Maxi Gómez,URU,FW,21.0,2960.0,32.9,13.0,5.0,18.0,0.4,0.15,0.55,12.5,3.0,11.7,81.0,27.0
2018-2019,Premier League,Arsenal,Henrikh Mkhitaryan,ARM,"FW,MF",29.0,1641.0,18.2,6.0,4.0,10.0,0.33,0.22,0.55,5.0,6.2,5.0,49.0,14.0
2018-2019,Premier League,Tottenham,Érik Lamela,ARG,"MF,FW",26.0,974.0,10.8,4.0,2.0,6.0,0.37,0.18,0.55,3.3,1.8,3.3,29.0,11.0
2018-2019,Ligue 1,Nantes,Gabriel Boschilia,BRA,"FW,MF",22.0,1319.0,14.7,4.0,4.0,8.0,0.27,0.27,0.55,4.4,1.6,4.4,40.0,17.0
2018-2019,Bundesliga,Schalke 04,Steven Skrzybski,GER,"FW,MF",25.0,664.0,7.4,3.0,1.0,4.0,0.41,0.14,0.54,2.6,1.1,2.6,17.0,7.0
2018-2019,La Liga,Huesca,Ezequiel Ávila,ARG,"FW,MF",24.0,1997.0,22.2,10.0,2.0,12.0,0.45,0.09,0.54,6.8,3.6,6.1,87.0,23.0
2018-2019,Bundesliga,Düsseldorf,Rouwen Hennings,GER,FW,30.0,1833.0,20.4,7.0,4.0,11.0,0.34,0.2,0.54,8.5,3.1,7.7,58.0,21.0
2018-2019,La Liga,Huesca,Juanpi,VEN,"MF,FW",24.0,670.0,7.4,2.0,2.0,4.0,0.27,0.27,0.54,2.0,0.5,1.2,14.0,2.0
2018-2019,Serie A,Sampdoria,Grégoire Defrel,MTQ,"FW,MF",27.0,2339.0,26.0,11.0,3.0,14.0,0.42,0.12,0.54,8.1,2.6,8.1,47.0,23.0
2018-2019,Serie A,Sassuolo,Khouma Babacar,SEN,FW,25.0,1488.0,16.5,7.0,2.0,9.0,0.42,0.12,0.54,7.6,0.9,6.1,58.0,19.0
2018-2019,La Liga,Getafe,Ángel Rodríguez,ESP,FW,31.0,1819.0,20.2,8.0,3.0,11.0,0.4,0.15,0.54,8.1,3.8,8.1,67.0,21.0
2018-2019,Premier League,Wolves,Diogo Jota,POR,"FW,MF",21.0,2355.0,26.2,9.0,5.0,14.0,0.34,0.19,0.54,8.8,5.3,8.8,58.0,24.0
2018-2019,Serie A,Inter,Lautaro Martínez,ARG,"FW,MF",20.0,1344.0,14.9,6.0,2.0,8.0,0.4,0.13,0.54,7.7,3.0,6.9,64.0,18.0
2018-2019,Premier League,West Ham,Javier Hernández,MEX,FW,30.0,1334.0,14.8,7.0,1.0,8.0,0.47,0.07,0.54,6.6,1.4,6.6,37.0,17.0
2018-2019,Serie A,Empoli,Samuel Mráz,SVK,FW,21.0,170.0,1.9,1.0,0.0,1.0,0.53,0.0,0.53,0.8,0.3,0.8,2.0,1.0
2018-2019,Serie A,Milan,Samu Castillejo,ESP,"FW,MF",23.0,1023.0,11.4,4.0,2.0,6.0,0.35,0.18,0.53,1.7,1.8,1.7,30.0,13.0
2018-2019,Premier League,Liverpool,Daniel Sturridge,ENG,"FW,MF",28.0,509.0,5.7,2.0,1.0,3.0,0.35,0.18,0.53,1.2,0.8,1.2,18.0,6.0
2018-2019,Premier League,Burnley,Ashley Barnes,ENG,FW,28.0,2388.0,26.5,12.0,2.0,14.0,0.45,0.08,0.53,13.8,3.3,12.2,63.0,28.0
2018-2019,Serie A,Atalanta,Emiliano Rigoni,ARG,"FW,MF",25.0,522.0,5.8,3.0,0.0,3.0,0.52,0.0,0.52,2.0,0.4,2.0,16.0,3.0
2018-2019,Serie A,Roma,Edin Džeko,BIH,FW,32.0,2579.0,28.7,9.0,6.0,15.0,0.31,0.21,0.52,14.5,4.2,14.5,131.0,50.0
2018-2019,Bundesliga,Freiburg,Luca Waldschmidt,GER,"FW,MF",22.0,1717.0,19.1,9.0,1.0,10.0,0.47,0.05,0.52,7.9,2.3,5.6,61.0,27.0
2018-2019,La Liga,Sevilla,Munir El Haddadi,MAR,"FW,MF",22.0,1042.0,11.6,5.0,1.0,6.0,0.43,0.09,0.52,5.1,0.9,5.1,34.0,11.0
2018-2019,Premier League,Wolves,Ivan Cavaleiro,POR,"FW,MF",24.0,693.0,7.7,3.0,1.0,4.0,0.39,0.13,0.52,2.2,1.5,2.2,13.0,4.0
2018-2019,Ligue 1,Monaco,Carlos Vinícius,BRA,"FW,MF",23.0,523.0,5.8,2.0,1.0,3.0,0.34,0.17,0.52,2.7,0.9,2.7,15.0,5.0
2018-2019,Premier League,Everton,Cenk Tosun,TUR,FW,27.0,1059.0,11.8,3.0,3.0,6.0,0.25,0.25,0.51,5.0,0.9,5.0,37.0,17.0
2018-2019,Serie A,Parma,Gervinho,CIV,FW,31.0,2304.0,25.6,11.0,2.0,13.0,0.43,0.08,0.51,7.4,3.7,7.4,44.0,19.0
2018-2019,Serie A,Lazio,Joaquín Correa,ARG,"FW,MF",23.0,1927.0,21.4,5.0,6.0,11.0,0.23,0.28,0.51,8.0,6.6,8.0,70.0,30.0
2018-2019,Serie A,Udinese,Rodrigo De Paul,ARG,"MF,FW",24.0,3189.0,35.4,9.0,9.0,18.0,0.25,0.25,0.51,9.7,8.1,5.0,82.0,26.0
2018-2019,Bundesliga,Augsburg,Ji Dong-won,KOR,"MF,FW",27.0,891.0,9.9,4.0,1.0,5.0,0.4,0.1,0.51,1.6,1.0,1.6,22.0,7.0
2018-2019,Premier League,Chelsea,Pedro,ESP,FW,31.0,1778.0,19.8,8.0,2.0,10.0,0.4,0.1,0.51,5.3,3.5,5.3,57.0,25.0
2018-2019,Bundesliga,Hoffenheim,Joelinton,BRA,"FW,MF",21.0,2130.0,23.7,7.0,5.0,12.0,0.3,0.21,0.51,8.3,5.2,8.3,56.0,24.0
2018-2019,Premier League,Manchester Utd,Romelu Lukaku,BEL,FW,25.0,2136.0,23.7,12.0,0.0,12.0,0.51,0.0,0.51,10.5,2.2,10.5,55.0,32.0
2018-2019,Bundesliga,Stuttgart,Steven Zuber,SUI,"MF,FW",26.0,1051.0,11.7,5.0,1.0,6.0,0.43,0.09,0.51,3.2,1.3,2.4,31.0,8.0
2018-2019,Ligue 1,Nantes,Kalifa Coulibaly,MLI,FW,26.0,1751.0,19.5,8.0,2.0,10.0,0.41,0.1,0.51,9.5,1.5,8.7,55.0,17.0
2018-2019,Serie A,Milan,Suso,ESP,"FW,MF",24.0,3018.0,33.5,7.0,10.0,17.0,0.21,0.3,0.51,4.2,9.9,4.2,95.0,40.0
2018-2019,Serie A,Sassuolo,Enrico Brignola,ITA,"FW,MF",19.0,175.0,1.9,1.0,0.0,1.0,0.51,0.0,0.51,0.6,0.1,0.6,6.0,2.0
2018-2019,La Liga,Athletic Club,Iñaki Williams,GHA,FW,24.0,3025.0,33.6,13.0,4.0,17.0,0.39,0.12,0.51,13.1,3.3,13.1,75.0,33.0
2018-2019,Bundesliga,Augsburg,Sergio Córdova,VEN,FW,20.0,531.0,5.9,3.0,0.0,3.0,0.51,0.0,0.51,1.0,0.2,1.0,13.0,4.0
2018-2019,Bundesliga,M'Gladbach,Raffael,BRA,FW,33.0,543.0,6.0,2.0,1.0,3.0,0.33,0.17,0.5,2.1,1.3,2.1,11.0,3.0
2018-2019,Premier League,Watford,Troy Deeney,ENG,FW,30.0,2545.0,28.3,9.0,5.0,14.0,0.32,0.18,0.5,9.5,4.6,8.7,63.0,29.0
2018-2019,Serie A,Empoli,Francesco Caputo,ITA,FW,30.0,3420.0,38.0,16.0,3.0,19.0,0.42,0.08,0.5,17.6,5.2,12.9,90.0,39.0
2018-2019,La Liga,Celta Vigo,Brais Méndez,ESP,"MF,FW",21.0,2349.0,26.1,6.0,7.0,13.0,0.23,0.27,0.5,5.5,4.1,4.7,70.0,25.0
2018-2019,La Liga,Valencia,Rodrigo,ESP,FW,27.0,2528.0,28.1,8.0,6.0,14.0,0.28,0.21,0.5,13.8,4.3,13.0,79.0,30.0
2018-2019,Bundesliga,Hertha BSC,Javairô Dilrosun,NED,"FW,MF",20.0,898.0,10.0,2.0,3.0,5.0,0.2,0.3,0.5,0.5,1.9,0.5,11.0,5.0
2018-2019,Bundesliga,Hoffenheim,Ádám Szalai,HUN,FW,30.0,1627.0,18.1,6.0,3.0,9.0,0.33,0.17,0.5,9.6,3.8,9.6,66.0,20.0
2018-2019,La Liga,Villarreal,Carlos Bacca,COL,FW,31.0,1270.0,14.1,6.0,1.0,7.0,0.43,0.07,0.5,4.6,1.6,3.8,30.0,14.0
2018-2019,Premier League,Brighton,Glenn Murray,ENG,FW,34.0,2508.0,27.9,13.0,1.0,14.0,0.47,0.04,0.5,11.4,1.3,8.1,50.0,17.0
2018-2019,Serie A,SPAL,Andrea Petagna,ITA,FW,23.0,3031.0,33.7,16.0,1.0,17.0,0.48,0.03,0.5,13.5,2.2,8.7,83.0,35.0
2018-2019,Serie A,Napoli,Adam Ounas,ALG,"MF,FW",21.0,538.0,6.0,3.0,0.0,3.0,0.5,0.0,0.5,1.4,1.9,1.4,21.0,8.0
2018-2019,Serie A,Empoli,Marko Pajač,CRO,"FW,DF",25.0,738.0,8.2,2.0,2.0,4.0,0.24,0.24,0.49,0.4,1.3,0.4,9.0,4.0
2018-2019,La Liga,Valencia,Gonçalo Guedes,POR,"MF,FW",21.0,1465.0,16.3,5.0,3.0,8.0,0.31,0.18,0.49,2.1,2.7,2.1,35.0,14.0
2018-2019,Bundesliga,Mainz 05,Anthony Ujah,NGA,FW,27.0,735.0,8.2,4.0,0.0,4.0,0.49,0.0,0.49,4.2,2.1,4.2,27.0,12.0
2018-2019,Bundesliga,Eint Frankfurt,Filip Kostić,SRB,"DF,FW",25.0,2956.0,32.8,6.0,10.0,16.0,0.18,0.3,0.49,4.5,9.8,4.5,62.0,18.0
2018-2019,La Liga,Huesca,Samuele Longo,ITA,FW,26.0,556.0,6.2,1.0,2.0,3.0,0.16,0.32,0.49,1.8,1.7,1.8,10.0,4.0
2018-2019,La Liga,Betis,Giovani Lo Celso,ARG,"MF,FW",22.0,2397.0,26.6,9.0,4.0,13.0,0.34,0.15,0.49,8.2,4.0,5.0,60.0,25.0
2018-2019,Serie A,Milan,Gonzalo Higuaín,ARG,FW,30.0,1277.0,14.2,6.0,1.0,7.0,0.42,0.07,0.49,6.6,1.7,5.8,55.0,17.0
2018-2019,Serie A,Torino,Andrea Belotti,ITA,FW,24.0,3299.0,36.7,15.0,3.0,18.0,0.41,0.08,0.49,17.3,4.3,12.6,119.0,42.0
2018-2019,La Liga,Real Madrid,Brahim Díaz,ESP,FW,18.0,376.0,4.2,1.0,1.0,2.0,0.24,0.24,0.48,1.2,1.5,1.2,7.0,5.0
2018-2019,Serie A,Sassuolo,Kevin-Prince Boateng,GHA,FW,31.0,938.0,10.4,4.0,1.0,5.0,0.38,0.1,0.48,3.8,0.8,2.3,27.0,10.0
2018-2019,Serie A,Genoa,Goran Pandev,MKD,"FW,MF",35.0,1122.0,12.5,4.0,2.0,6.0,0.32,0.16,0.48,3.2,1.6,3.2,27.0,10.0
2018-2019,Ligue 1,Angers,Cristian López,ESP,FW,29.0,372.0,4.1,2.0,0.0,2.0,0.48,0.0,0.48,2.1,0.6,1.3,11.0,3.0
2018-2019,Premier League,Bournemouth,David Brooks,WAL,"MF,FW",21.0,2261.0,25.1,7.0,5.0,12.0,0.28,0.2,0.48,6.0,5.0,6.0,41.0,20.0
2018-2019,Ligue 1,Reims,Remi Oudin,FRA,"FW,MF",21.0,2612.0,29.0,10.0,4.0,14.0,0.34,0.14,0.48,8.5,3.0,8.5,78.0,24.0
2018-2019,La Liga,Alavés,Jony,ESP,"MF,FW",27.0,2971.0,33.0,5.0,11.0,16.0,0.15,0.33,0.48,4.6,9.6,4.6,55.0,23.0
2018-2019,La Liga,Levante,José Luis Morales,ESP,"FW,MF",31.0,3195.0,35.5,12.0,5.0,17.0,0.34,0.14,0.48,13.6,6.0,9.7,60.0,28.0
2018-2019,Ligue 1,Lille,Jonathan Bamba,CIV,"FW,MF",22.0,3004.0,33.4,13.0,3.0,16.0,0.39,0.09,0.48,8.4,5.3,7.6,66.0,27.0
2018-2019,La Liga,Villarreal,Santi Cazorla,ESP,"MF,FW",33.0,2647.0,29.4,4.0,10.0,14.0,0.14,0.34,0.48,4.4,6.8,2.1,28.0,8.0
2018-2019,Premier League,Chelsea,Álvaro Morata,ESP,FW,25.0,941.0,10.5,5.0,0.0,5.0,0.48,0.0,0.48,6.1,0.2,6.1,35.0,16.0
2018-2019,La Liga,Rayo Vallecano,Raúl de Tomás,ESP,FW,23.0,2813.0,31.3,14.0,1.0,15.0,0.45,0.03,0.48,15.6,1.5,15.6,115.0,47.0
2018-2019,Serie A,Bologna,Federico Santander,PAR,FW,27.0,2065.0,22.9,8.0,3.0,11.0,0.35,0.13,0.48,8.6,3.0,8.6,76.0,27.0
2018-2019,Serie A,Bologna,Nicola Sansone,ITA,FW,26.0,1139.0,12.7,2.0,4.0,6.0,0.16,0.32,0.47,1.7,2.3,1.7,30.0,12.0
2018-2019,Serie A,Lazio,Danilo Cataldi,ITA,"MF,FW",23.0,578.0,6.4,2.0,1.0,3.0,0.31,0.16,0.47,0.6,1.5,0.6,13.0,4.0
2018-2019,Serie A,Chievo,Sergio Pellissier,ITA,FW,39.0,953.0,10.6,4.0,1.0,5.0,0.38,0.09,0.47,5.5,2.0,3.9,25.0,8.0
2018-2019,Ligue 1,Marseille,Kostas Mitroglou,GRE,FW,30.0,580.0,6.4,3.0,0.0,3.0,0.47,0.0,0.47,4.4,0.2,4.4,19.0,9.0
2018-2019,Ligue 1,Marseille,Dimitri Payet,FRA,"MF,FW",31.0,1904.0,21.2,4.0,6.0,10.0,0.19,0.28,0.47,5.6,6.7,3.2,37.0,12.0
2018-2019,Ligue 1,Strasbourg,Adrien Thomasson,FRA,"MF,FW",24.0,2479.0,27.5,5.0,8.0,13.0,0.18,0.29,0.47,4.5,3.7,4.4,53.0,17.0
2018-2019,La Liga,Leganés,Youssef En-Nesyri,MAR,FW,21.0,2106.0,23.4,9.0,2.0,11.0,0.38,0.09,0.47,7.1,2.3,7.1,74.0,24.0
2018-2019,Bundesliga,Dortmund,Raphaël Guerreiro,POR,"FW,DF",24.0,1527.0,17.0,2.0,6.0,8.0,0.12,0.35,0.47,2.8,3.6,2.8,35.0,14.0
2018-2019,Ligue 1,Montpellier,Gaëtan Laborde,FRA,"FW,MF",24.0,2895.0,32.2,11.0,4.0,15.0,0.34,0.12,0.47,9.8,5.8,9.8,86.0,27.0
2018-2019,Serie A,Roma,Justin Kluivert,NED,FW,19.0,1341.0,14.9,1.0,6.0,7.0,0.07,0.4,0.47,1.3,3.0,1.3,21.0,7.0
2018-2019,Premier League,Everton,Richarlison,BRA,"FW,MF",21.0,2665.0,29.6,13.0,1.0,14.0,0.44,0.03,0.47,9.4,2.0,9.3,83.0,28.0
2018-2019,La Liga,Villarreal,Dani Raba,ESP,"MF,FW",22.0,191.0,2.1,0.0,1.0,1.0,0.0,0.47,0.47,0.1,0.8,0.1,2.0,0.0
2018-2019,Bundesliga,Schalke 04,Haji Wright,USA,FW,20.0,197.0,2.2,1.0,0.0,1.0,0.46,0.0,0.46,0.9,0.0,0.9,3.0,1.0
2018-2019,Premier League,Cardiff City,Nathaniel Mendez-Laing,GUA,"MF,FW",26.0,985.0,10.9,4.0,1.0,5.0,0.37,0.09,0.46,2.3,1.5,1.5,19.0,8.0
2018-2019,La Liga,Villarreal,Karl Toko Ekambi,CMR,"FW,MF",25.0,2144.0,23.8,10.0,1.0,11.0,0.42,0.04,0.46,10.6,2.1,10.0,58.0,32.0
2018-2019,Premier League,Fulham,Luciano Vietto,ARG,"FW,MF",24.0,986.0,11.0,1.0,4.0,5.0,0.09,0.37,0.46,2.9,2.1,2.9,24.0,7.0
2018-2019,Bundesliga,Freiburg,Florian Niederlechner,GER,"FW,MF",27.0,970.0,10.8,4.0,1.0,5.0,0.37,0.09,0.46,4.6,0.7,4.6,31.0,18.0
2018-2019,Premier League,Bournemouth,Joshua King,NOR,"FW,MF",26.0,2961.0,32.9,12.0,3.0,15.0,0.36,0.09,0.46,13.5,3.8,8.7,66.0,18.0
2018-2019,La Liga,Athletic Club,Raúl García,ESP,"MF,FW",32.0,2369.0,26.3,9.0,3.0,12.0,0.34,0.11,0.46,8.7,3.0,5.4,77.0,31.0
2018-2019,Ligue 1,Rennes,Ismaila Sarr,SEN,"FW,MF",20.0,2788.0,31.0,8.0,6.0,14.0,0.26,0.19,0.45,6.0,6.1,5.2,53.0,19.0
2018-2019,Ligue 1,Monaco,Stevan Jovetić,MNE,"MF,FW",28.0,399.0,4.4,2.0,0.0,2.0,0.45,0.0,0.45,2.2,0.5,2.2,20.0,7.0
2018-2019,Ligue 1,Bordeaux,Josh Maja,NGA,FW,19.0,198.0,2.2,1.0,0.0,1.0,0.45,0.0,0.45,0.8,0.1,0.8,5.0,2.0
2018-2019,Serie A,Roma,Javier Pastore,ARG,"MF,FW",29.0,597.0,6.6,3.0,0.0,3.0,0.45,0.0,0.45,2.7,0.9,2.7,19.0,5.0
2018-2019,Serie A,Atalanta,Musa Barrow,GAM,FW,19.0,601.0,6.7,1.0,2.0,3.0,0.15,0.3,0.45,2.9,1.4,2.9,30.0,8.0
2018-2019,Premier League,Leicester City,James Maddison,ENG,"MF,FW",21.0,2831.0,31.5,7.0,7.0,14.0,0.22,0.22,0.45,7.4,8.2,5.9,81.0,26.0
2018-2019,Ligue 1,Saint-Étienne,Romain Hamouma,FRA,"FW,MF",31.0,1586.0,17.6,4.0,4.0,8.0,0.23,0.23,0.45,3.2,4.4,3.2,34.0,11.0
2018-2019,La Liga,Huesca,Álex Gallar,ESP,"MF,FW",26.0,1009.0,11.2,4.0,1.0,5.0,0.36,0.09,0.45,3.6,2.8,2.8,26.0,9.0
2018-2019,Ligue 1,Bordeaux,Andreas Cornelius,DEN,FW,25.0,792.0,8.8,3.0,1.0,4.0,0.34,0.11,0.45,2.3,0.5,2.3,22.0,9.0
2018-2019,Ligue 1,Caen,Herman Moussaki,FRA,"MF,FW",19.0,204.0,2.3,0.0,1.0,1.0,0.0,0.44,0.44,0.2,0.2,0.2,3.0,0.0
2018-2019,Ligue 1,Nice,Mickaël Le Bihan,FRA,FW,28.0,204.0,2.3,1.0,0.0,1.0,0.44,0.0,0.44,1.3,0.1,0.5,4.0,2.0
2018-2019,Ligue 1,Angers,Stéphane Bahoken,CMR,FW,26.0,2469.0,27.4,11.0,1.0,12.0,0.4,0.04,0.44,9.5,2.7,7.1,64.0,30.0
2018-2019,Ligue 1,Toulouse,Max Gradel,CIV,"FW,MF",30.0,3240.0,36.0,11.0,5.0,16.0,0.31,0.14,0.44,14.8,7.1,8.5,112.0,34.0
2018-2019,Premier League,Cardiff City,Bobby Reid,JAM,"FW,MF",25.0,1424.0,15.8,5.0,2.0,7.0,0.32,0.13,0.44,3.8,1.2,3.0,26.0,8.0
2018-2019,Ligue 1,Paris S-G,Julian Draxler,GER,"MF,FW",24.0,2046.0,22.7,3.0,7.0,10.0,0.13,0.31,0.44,4.1,5.0,4.1,31.0,16.0
2018-2019,Serie A,Torino,Simone Zaza,ITA,"FW,MF",27.0,1437.0,16.0,4.0,3.0,7.0,0.25,0.19,0.44,6.6,1.0,6.6,56.0,28.0
2018-2019,Premier League,Manchester City,Bernardo Silva,POR,"MF,FW",23.0,2854.0,31.7,7.0,7.0,14.0,0.22,0.22,0.44,7.4,7.8,7.4,62.0,22.0
2018-2019,Serie A,Frosinone,Federico Dionisi,ITA,"FW,MF",31.0,204.0,2.3,1.0,0.0,1.0,0.44,0.0,0.44,1.0,0.7,1.0,11.0,3.0
2018-2019,Serie A,Frosinone,Andrea Pinamonti,ITA,FW,19.0,1625.0,18.1,5.0,3.0,8.0,0.28,0.17,0.44,6.5,0.5,6.5,60.0,16.0
2018-2019,Premier League,Bournemouth,Junior Stanislas,ENG,"MF,FW",28.0,1031.0,11.5,2.0,3.0,5.0,0.17,0.26,0.44,3.1,2.0,2.3,33.0,9.0
