season,league,team,player,nationality,position,age,minutes,minutes_90s,goals,assists,goals_assists,goals_per90,assists_per90,goals_assists_per90,xg,xg_assist,npxg,shots,shots_on_target
2018-2019,Bundesliga,Hoffenheim,Reiss Nelson,ENG,"MF,FW",18.0,643.0,7.1,7.0,0.0,7.0,0.98,0.0,0.98,3.3,0.9,3.3,21.0,11.0
2018-2019,Premier League,Liverpool,Divock Origi,BEL,FW,23.0,371.0,4.1,3.0,1.0,4.0,0.73,0.24,0.97,2.2,0.2,2.2,13.0,6.0
2018-2019,Serie A,Juventus,Cristiano Ronaldo,POR,FW,33.0,2688.0,29.9,21.0,8.0,29.0,0.7,0.27,0.97,22.2,4.6,17.5,171.0,62.0
2018-2019,Bundesliga,Dortmund,Marco Reus,GER,"MF,FW",29.0,2316.0,25.7,17.0,8.0,25.0,0.66,0.31,0.97,15.7,6.4,13.4,66.0,30.0
2018-2019,Serie A,Sampdoria,Fabio Quagliarella,ITA,FW,35.0,3199.0,35.5,26.0,8.0,34.0,0.73,0.23,0.96,21.9,4.5,14.7,131.0,47.0
2018-2019,Premier League,Manchester City,Leroy Sané,GER,FW,22.0,1867.0,20.7,10.0,10.0,20.0,0.48,0.48,0.96,6.7,7.4,6.7,56.0,24.0
2018-2019,Bundesliga,Dortmund,Jadon Sancho,ENG,"FW,MF",18.0,2461.0,27.3,12.0,14.0,26.0,0.44,0.51,0.95,7.0,7.7,7.0,40.0,21.0
2018-2019,Premier League,Chelsea,Eden Hazard,BEL,FW,27.0,2923.0,32.5,16.0,15.0,31.0,0.49,0.46,0.95,10.5,10.0,7.4,89.0,39.0
2018-2019,Serie A,Atalanta,Duván Zapata,COL,FW,27.0,2896.0,32.2,23.0,7.0,30.0,0.71,0.22,0.93,18.9,9.5,17.3,116.0,49.0
2018-2019,Ligue 1,Nantes,Emiliano Sala,ARG,FW,27.0,1369.0,15.2,12.0,2.0,14.0,0.79,0.13,0.92,6.5,1.7,4.9,34.0,16.0
2018-2019,Bundesliga,Eint Frankfurt,Gonçalo Paciência,POR,FW,23.0,390.0,4.3,3.0,1.0,4.0,0.69,0.23,0.92,2.5,1.0,2.5,19.0,7.0
2018-2019,Bundesliga,Hoffenheim,Ishak Belfodil,ALG,"FW,MF",26.0,1863.0,20.7,16.0,3.0,19.0,0.77,0.14,0.92,12.3,5.1,12.3,88.0,36.0
2018-2019,Bundesliga,Werder Bremen,Claudio Pizarro,PER,FW,39.0,692.0,7.7,5.0,2.0,7.0,0.65,0.26,0.91,3.1,0.7,3.1,26.0,9.0
2018-2019,Serie A,Bologna,Mattia Destro,ITA,FW,27.0,493.0,5.5,4.0,1.0,5.0,0.73,0.18,0.91,2.4,0.6,2.4,12.0,7.0
2018-2019,Serie A,Napoli,Amin Younes,GER,"MF,FW",24.0,498.0,5.5,3.0,2.0,5.0,0.54,0.36,0.9,1.7,0.9,1.7,13.0,6.0
2018-2019,Ligue 1,Paris S-G,Ángel Di María,ARG,"FW,MF",30.0,2324.0,25.8,12.0,11.0,23.0,0.46,0.43,0.89,8.7,7.8,8.7,97.0,30.0
2018-2019,Ligue 1,Lille,Nicolas Pépé,CIV,"FW,MF",23.0,3324.0,36.9,22.0,11.0,33.0,0.6,0.3,0.89,21.1,9.6,13.3,108.0,51.0
2018-2019,Premier League,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,29.0,2726.0,30.3,22.0,5.0,27.0,0.73,0.17,0.89,22.6,4.2,18.5,89.0,34.0
2018-2019,Bundesliga,Eint Frankfurt,Luka Jović,SRB,"FW,MF",20.0,2243.0,24.9,17.0,5.0,22.0,0.68,0.2,0.88,14.9,3.9,14.1,96.0,41.0
2018-2019,Bundesliga,Bayern Munich,Robert Lewandowski,POL,FW,29.0,2957.0,32.9,22.0,7.0,29.0,0.67,0.21,0.88,30.7,8.9,27.5,140.0,48.0
2018-2019,Premier League,Manchester City,Gabriel Jesus,BRA,FW,21.0,1036.0,11.5,7.0,3.0,10.0,0.61,0.26,0.87,11.2,2.3,10.5,42.0,22.0
2018-2019,La Liga,Sevilla,Wissam Ben Yedder,FRA,FW,27.0,2812.0,31.2,18.0,9.0,27.0,0.58,0.29,0.86,18.0,7.4,16.4,74.0,34.0
2018-2019,La Liga,Barcelona,Luis Suárez,URU,FW,31.0,2827.0,31.4,21.0,6.0,27.0,0.67,0.19,0.86,23.1,6.9,20.0,108.0,54.0
2018-2019,Bundesliga,Leverkusen,Lucas Alario,ARG,"FW,MF",25.0,1265.0,14.1,9.0,3.0,12.0,0.64,0.21,0.85,6.7,1.4,6.7,43.0,16.0
2018-2019,Bundesliga,Werder Bremen,Josh Sargent,USA,FW,18.0,212.0,2.4,2.0,0.0,2.0,0.85,0.0,0.85,1.5,0.1,1.5,4.0,2.0
2018-2019,Ligue 1,Lyon,Moussa Dembélé,FRA,FW,22.0,2016.0,22.4,15.0,4.0,19.0,0.67,0.18,0.85,17.1,2.7,15.5,88.0,37.0
2018-2019,Premier League,Manchester City,Raheem Sterling,ENG,FW,23.0,2771.0,30.8,17.0,9.0,26.0,0.55,0.29,0.84,13.7,9.6,13.7,77.0,38.0
2018-2019,Ligue 1,Lyon,Maxwel Cornet,CIV,FW,21.0,1281.0,14.2,7.0,5.0,12.0,0.49,0.35,0.84,7.4,4.1,7.4,47.0,22.0
2018-2019,Ligue 1,Marseille,Florian Thauvin,FRA,"FW,MF",25.0,2613.0,29.0,16.0,8.0,24.0,0.55,0.28,0.83,11.3,6.1,9.8,99.0,33.0
2018-2019,Bundesliga,Eint Frankfurt,Nicolai Müller,GER,"FW,MF",30.0,217.0,2.4,2.0,0.0,2.0,0.83,0.0,0.83,0.7,0.1,0.7,3.0,2.0
2018-2019,Bundesliga,RB Leipzig,Timo Werner,GER,FW,22.0,2509.0,27.9,16.0,7.0,23.0,0.57,0.25,0.83,17.5,5.5,16.7,106.0,38.0
2018-2019,Premier League,Liverpool,Mohamed Salah,EGY,FW,26.0,3250.0,36.1,22.0,8.0,30.0,0.61,0.22,0.83,20.2,9.4,17.9,134.0,60.0
2018-2019,La Liga,Sevilla,Pablo Sarabia,ESP,"MF,FW",26.0,2724.0,30.3,12.0,13.0,25.0,0.4,0.43,0.83,12.0,11.1,11.3,74.0,30.0
2018-2019,Premier League,Bournemouth,Callum Wilson,ENG,FW,26.0,2528.0,28.1,14.0,9.0,23.0,0.5,0.32,0.82,13.4,5.4,11.9,63.0,27.0
2018-2019,La Liga,Real Madrid,Karim Benzema,FRA,FW,30.0,2953.0,32.8,21.0,6.0,27.0,0.64,0.18,0.82,17.7,6.0,15.3,101.0,41.0
2018-2019,Ligue 1,Nîmes,Clément Depres,FRA,FW,23.0,441.0,4.9,4.0,0.0,4.0,0.82,0.0,0.82,2.3,0.2,2.3,28.0,9.0
2018-2019,Bundesliga,Hoffenheim,Vincenzo Grifo,ITA,"MF,FW",25.0,335.0,3.7,1.0,2.0,3.0,0.27,0.54,0.81,1.5,0.6,0.7,14.0,2.0
2018-2019,Bundesliga,M'Gladbach,Josip Drmić,SUI,FW,25.0,222.0,2.5,2.0,0.0,2.0,0.81,0.0,0.81,1.4,0.0,1.4,7.0,3.0
2018-2019,Bundesliga,Werder Bremen,Milot Rashica,KVX,"FW,MF",22.0,1550.0,17.2,9.0,5.0,14.0,0.52,0.29,0.81,7.0,4.1,6.2,58.0,24.0
2018-2019,Serie A,Atalanta,Josip Iličić,SVN,"FW,MF",30.0,2145.0,23.8,12.0,7.0,19.0,0.5,0.29,0.8,10.6,7.5,9.9,100.0,37.0
2018-2019,Premier League,Tottenham,Son Heung-min,KOR,"FW,MF",26.0,2039.0,22.7,12.0,6.0,18.0,0.53,0.26,0.79,7.5,3.6,7.5,74.0,29.0
2018-2019,Bundesliga,RB Leipzig,Emil Forsberg,SWE,"MF,FW",26.0,1249.0,13.9,4.0,7.0,11.0,0.29,0.5,0.79,4.8,4.5,2.5,27.0,11.0
2018-2019,Bundesliga,Hoffenheim,Andrej Kramarić,CRO,"MF,FW",27.0,2396.0,26.6,17.0,4.0,21.0,0.64,0.15,0.79,21.0,5.7,16.3,104.0,38.0
2018-2019,Bundesliga,Mainz 05,Karim Onisiwo,AUT,"FW,MF",26.0,1161.0,12.9,7.0,3.0,10.0,0.54,0.23,0.78,5.6,3.3,5.6,39.0,17.0
2018-2019,Premier League,Tottenham,Harry Kane,ENG,FW,25.0,2424.0,26.9,17.0,4.0,21.0,0.63,0.15,0.78,14.4,4.0,11.3,98.0,42.0
2018-2019,La Liga,Eibar,Charles,BRA,FW,34.0,1739.0,19.3,14.0,1.0,15.0,0.72,0.05,0.78,12.2,1.4,6.7,56.0,24.0
2018-2019,Bundesliga,Bayern Munich,Serge Gnabry,GER,"FW,MF",23.0,1762.0,19.6,10.0,5.0,15.0,0.51,0.26,0.77,9.4,6.9,9.4,66.0,32.0
2018-2019,Ligue 1,Marseille,Mario Balotelli,ITA,FW,27.0,933.0,10.4,8.0,0.0,8.0,0.77,0.0,0.77,5.5,0.7,5.5,43.0,16.0
2018-2019,Bundesliga,Leverkusen,Karim Bellarabi,GER,FW,28.0,1057.0,11.7,5.0,4.0,9.0,0.43,0.34,0.77,3.3,5.1,3.3,42.0,11.0
2018-2019,Bundesliga,Dortmund,Christian Pulisic,USA,FW,19.0,932.0,10.4,4.0,4.0,8.0,0.39,0.39,0.77,4.8,2.6,4.8,27.0,10.0
2018-2019,Ligue 1,Lille,Rafael Leão,POR,FW,19.0,1287.0,14.3,8.0,3.0,11.0,0.56,0.21,0.77,4.3,1.7,4.3,37.0,20.0
2018-2019,Serie A,Napoli,Simone Verdi,ITA,"MF,FW",26.0,704.0,7.8,3.0,3.0,6.0,0.38,0.38,0.77,2.7,2.0,1.9,19.0,7.0
2018-2019,Ligue 1,Saint-Étienne,Robert Berić,SVN,FW,27.0,1175.0,13.1,9.0,1.0,10.0,0.69,0.08,0.77,7.5,1.7,7.5,37.0,19.0
2018-2019,Premier League,Liverpool,Xherdan Shaqiri,SUI,"FW,MF",26.0,1064.0,11.8,6.0,3.0,9.0,0.51,0.25,0.76,3.9,1.6,3.9,26.0,10.0
2018-2019,Premier League,Arsenal,Alexandre Lacazette,FRA,FW,27.0,2502.0,27.8,13.0,8.0,21.0,0.47,0.29,0.76,11.7,3.7,11.7,81.0,28.0
2018-2019,La Liga,Celta Vigo,Andrew Hjulsager,DEN,"MF,FW",23.0,359.0,4.0,0.0,3.0,3.0,0.0,0.75,0.75,0.1,1.7,0.1,2.0,0.0
2018-2019,Bundesliga,Dortmund,Mario Götze,GER,"FW,MF",26.0,1674.0,18.6,7.0,7.0,14.0,0.38,0.38,0.75,4.7,6.2,4.7,28.0,16.0
2018-2019,Bundesliga,Düsseldorf,Benito Raman,BEL,"MF,FW",23.0,1681.0,18.7,10.0,4.0,14.0,0.54,0.21,0.75,7.4,2.7,7.4,55.0,26.0
2018-2019,Serie A,Napoli,Arkadiusz Milik,POL,FW,24.0,2396.0,26.6,17.0,3.0,20.0,0.64,0.11,0.75,13.9,3.0,13.9,111.0,51.0
2018-2019,Ligue 1,Rennes,M'Baye Niang,SEN,"FW,MF",23.0,1793.0,19.9,11.0,4.0,15.0,0.55,0.2,0.75,7.8,1.7,6.3,62.0,23.0
2018-2019,Bundesliga,Wolfsburg,Wout Weghorst,NED,FW,25.0,2925.0,32.5,17.0,7.0,24.0,0.52,0.22,0.74,14.3,4.9,11.3,69.0,30.0
2018-2019,La Liga,Getafe,Jaime Mata,ESP,"FW,MF",29.0,2432.0,27.0,14.0,6.0,20.0,0.52,0.22,0.74,12.4,2.5,9.3,55.0,21.0
2018-2019,Premier League,Manchester City,Riyad Mahrez,ALG,"FW,MF",27.0,1343.0,14.9,7.0,4.0,11.0,0.47,0.27,0.74,5.5,4.6,4.7,53.0,25.0
2018-2019,Bundesliga,Leverkusen,Kevin Volland,GER,FW,26.0,2814.0,31.3,14.0,9.0,23.0,0.45,0.29,0.74,13.8,8.4,13.8,87.0,43.0
2018-2019,Bundesliga,Augsburg,Alfreð Finnbogason,ISL,FW,29.0,1335.0,14.8,10.0,1.0,11.0,0.67,0.07,0.74,10.6,2.4,7.5,36.0,14.0
2018-2019,Premier League,Leicester City,Jamie Vardy,ENG,FW,31.0,2726.0,30.3,18.0,4.0,22.0,0.59,0.13,0.73,18.3,5.1,14.4,74.0,33.0
2018-2019,Serie A,Genoa,Krzysztof Piątek,POL,FW,23.0,1593.0,17.7,13.0,0.0,13.0,0.73,0.0,0.73,9.1,1.4,7.6,75.0,29.0
2018-2019,Premier League,Chelsea,Ruben Loftus-Cheek,ENG,"MF,FW",22.0,998.0,11.1,6.0,2.0,8.0,0.54,0.18,0.72,2.8,0.8,2.8,28.0,8.0
2018-2019,Serie A,Inter,Keita Baldé,SEN,FW,23.0,889.0,9.9,5.0,2.0,7.0,0.51,0.2,0.71,3.9,2.2,3.9,30.0,17.0
2018-2019,Serie A,Sampdoria,Gianluca Caprari,ITA,"FW,MF",25.0,1031.0,11.5,6.0,2.0,8.0,0.52,0.17,0.7,2.2,1.4,2.2,30.0,14.0
2018-2019,La Liga,Barcelona,Ousmane Dembélé,FRA,"FW,MF",21.0,1661.0,18.5,8.0,5.0,13.0,0.43,0.27,0.7,3.8,4.9,3.8,39.0,17.0
